Id,Job,Education,SmartWork,Experience_abroad,Nationality,City,Skills,Softkills,Age,Experience,Ideal_Salary,Language
0,Nurse,Degree,False,True,Italiano,Chianocco,"Pharmacology, Anatomy, Health care, Administration of drugs","Flexibility, Communication",36,1,34147,Italiano
1,Therapist,Bachelor D.,False,False,Messicano,Carpegna,"Ethics, Cognitive behavioral therapy, Confidentiality","Active listening, Relational Skills",58,13,30000,"Messicano, Canadese"
2,Marketing manager,Bachelor D.,True,False,Messicano,Malles Venosta,"Management of the brand, Market research, CMS, Strategies of marketing, Hootsuite","Creativity, Critical thinking, Management of the team",30,1,54407,"Messicano, Tedesco"
3,Nurse,PhD,False,True,Tedesco,Filottrano,"Pharmacology, Medical emergencies","Empathy, Flexibility",28,0,29988,Tedesco
4,Marketing manager,PhD,True,False,Italiano,Castelcucco,"Market research, Hootsuite, Google Analytics","Leadership, Adaptability",43,1,60314,Italiano
5,Marketing manager,PhD,False,True,Canadese,Forli' del Sannio,"Management of the brand, Strategies of marketing, Hootsuite, CMS","Adaptability, Management of the team, Creativity, Leadership",52,2,33409,"Canadese, Norvegese, Italiano"
6,Manager,Degree,False,True,Danese,Magre' sulla strada del vino,"Team Management, Market expertise, Strategic planning, Negotiation","Effective communication, Leadership",44,3,81995,Danese
7,X-ray technician,Bachelor D.,False,True,Pakistano,Mezzana Bigli,"Use of imaging equipment, Radiological safety, Preparation of patients","Precision, Confidentiality, Empathy",47,17,30000,Pakistano
8,Asset manager,Degree,False,False,Italiano,Albaredo per San Marco,"Management of the portfolio, Financial planning, Economics","Negotiation, Customer orientation, Attention to detail, Strategic Thinking",50,5,54976,Italiano
9,Pharmacist,Master D.,False,False,Inglese,Capriolo,"Preparation of drugs, Dispensing of drugs","Attention to the customer, Communication, Precision, Knowledge of regulations, Organizational skills",31,0,24037,"Inglese, Cinese"
10,Therapist,Researcher,False,False,Italiano,Castiglione del Lago,"Cognitive behavioral therapy, Psychological evaluation","Ethics, Empathy, Active listening, Confidentiality",48,12,30000,"Italiano, Francese, Inglese"
11,Therapist,Bachelor D.,False,False,Egiziano,Rivalba,"Counseling, Theories of Behavior","Active listening, Confidentiality",48,13,30000,Egiziano
12,Data analyst,Degree,True,False,Italiano,Pelugo,"MATLAB, Statistics, SQL, Root","Proactivity, Critical analysis, Creativity, Clear communication, Problem solving",40,8,45621,"Italiano, Egiziano, Venezuelano"
13,Manager,Degree,False,True,Tunisino,Sant'Eufemia d'Aspromonte,"Market expertise, Strategic planning, Negotiation, Team Management","Innovation, Leadership, Adaptability",49,17,112646,"Tunisino, Cinese"
14,Financial analyst,Researcher,False,True,Lituano,Cagno,"Financial analysis, Economic Law, Investment","Attention to detail, Problem solving, Effective communication, Critical analysis",35,4,31572,"Lituano, Italiano, Italiano"
15,System administrator,Degree,False,False,Statunitense,Fiumicino,"HTTP, Cloud management, Windows Server","Troubleshooting, Patience, Management of emergencies",26,1,46701,"Statunitense, Cubano, Italiano"
16,Operation manager,Bachelor D.,False,True,Francese,Cansano,"ERP, Quality Control, Microsoft Excel, Logistics","Management of time, Management of stress, Strategic planning, Troubleshooting",39,7,118794,"Francese, Irlandese"
17,Marketing manager,Master D.,False,True,Italiano,Lograto,"Hootsuite, CMS, Google Analytics, Management of the brand, Planning of campaigns","Critical thinking, Leadership, Adaptability, Management of the team",30,2,46070,"Italiano, Venezuelano"
18,Manager,Bachelor D.,False,True,Italiano,Valle di Casies,"Team Management, Strategic planning, Negotiation","Innovation, Leadership, Adaptability, Effective communication",30,0,90504,"Italiano, Tunisino"
19,Asset manager,Bachelor D.,False,False,Italiano,Azzano San Paolo,"Economics, Investments, Financial analysis","Attention to detail, Strategic Thinking, Negotiation",50,11,54296,"Italiano, Francese, Israeliano"
20,Teacher,Bachelor D.,False,True,Portoghese,Calasetta,"History, Italian, Art","Empathy, Patience, Communication",40,12,23000,"Portoghese, Italiano"
21,Architectural engineer,Bachelor D.,False,False,Francese,Pieve Albignola,"Solidworks, Structural analysis, Design, AutoCAD","Troubleshooting, Creativity, Decision-making capacity, Communication",28,2,43489,"Francese, Inglese, Italiano"
22,Legal consultant,Degree,False,False,Italiano,San Vito,"Civil Law, Tax legislation, Procedural right, Intellectual property","Management of stress, Integrity",29,0,44138,"Italiano, Venezuelano"
23,Financial analyst,Degree,True,True,Italiano,Spinete,"Risk Management, Investment, Assessment of investments, Financial markets","Management of stress, Problem solving, Critical analysis, Attention to detail",35,7,44000,"Italiano, Cinese, Inglese"
24,X-ray technician,Bachelor D.,False,False,Irlandese,Vadena,"Use of imaging equipment, Radiological safety, Preparation of patients","Confidentiality, Empathy, Organizational skills, Communication",32,7,28484,Irlandese
25,Operation manager,Bachelor D.,False,False,Italiano,Vallio Terme,"Quality Control, ERP, Microsoft Excel, Optimization of processes, Logistics","Management of time, Management of stress",57,11,140918,"Italiano, Danese, Russo"
26,Financial analyst,Degree,False,True,Italiano,Moggio,"Economics, Financial markets, Investment, Economic Law","Management of stress, Attention to detail, Effective communication",41,6,36581,Italiano
27,Therapist,PhD,False,False,Israeliano,Mafalda,"Ethics, Psychological evaluation","Confidentiality, Ethics, Relational Skills",56,2,23182,"Israeliano, Italiano, Danese"
28,Asset manager,Bachelor D.,False,True,Inglese,Pietracatella,"Financial analysis, Financial planning, Economics, Management of the portfolio, Investments","Negotiation, Attention to detail, Strategic Thinking",53,12,57042,"Inglese, Finlandese"
29,Asset manager,Bachelor D.,False,True,Italiano,Casalattico,"Economics, Financial analysis, Investments, Investments, Management of the portfolio","Negotiation, Attention to detail, Strategic Thinking, Customer orientation",45,3,43071,"Italiano, Canadese, Irlandese"
30,Risk expert,Degree,False,False,Brasiliano,Vistrorio,"Management of the crisis, Financial risk, Analysis of financial security policies, Assessment of risk, Management of losses","Decision making, Analytical thinking, Management of stress",32,1,39701,"Brasiliano, Francese"
31,Financial analyst,Bachelor D.,False,False,Tedesco,Graglia,"Financial analysis, Financial markets, Assessment of investments","Effective communication, Critical analysis, Attention to detail",32,5,31757,"Tedesco, Inglese"
32,Marketing manager,Degree,False,True,Egiziano,Ventotene,"Hootsuite, Market research","Management of the team, Critical thinking, Leadership, Creativity, Adaptability",33,4,57363,"Egiziano, Italiano, Lituano"
33,Doctor,Degree,False,True,Argentino,Casella,"Pharmacology, Management of patients, Interpretation of the results, Prevention, Therapy","Patience, Attention to the patient, Teamwork, Ethics",46,5,48277,"Argentino, Inglese, Irlandese"
34,Asset manager,Bachelor D.,False,True,Russo,Stezzano,"Management of the portfolio, Financial planning, Economics, Investments, Financial analysis","Negotiation, Attention to detail, Strategic Thinking",46,7,55787,Russo
35,Data analyst,PhD,True,False,Pakistano,San Pietro Clarenza,"Data Mining, SAS","Creativity, Clear communication",27,0,40522,"Pakistano, Italiano"
36,Web Developer,Bachelor D.,False,True,Norvegese,Parenti,"SQL, SQL, Angular, Design patterns, Ruby","Flexibility, Effective communication, Innovation, Problem solving",33,5,53993,Norvegese
37,Marketing manager,Master D.,False,False,Italiano,Cansano,"Planning of campaigns, CMS","Ability to adapt to new technologies, Leadership, Adaptability, Management of the team, Critical thinking",35,6,52440,"Italiano, Messicano, Francese"
38,Architectural engineer,Bachelor D.,False,True,Italiano,Trevi,"ANSYS, MATLAB, Solidworks, Design","Decision-making capacity, Creativity",36,9,39002,Italiano
39,Teacher,Degree,False,True,Irlandese,Novedrate,"Gym, Physical education, Mathematics, French, Geograpy","Patience, Empathy, Communication",30,4,21398,"Irlandese, Italiano"
40,Legal consultant,Bachelor D.,False,True,Italiano,Pachino,"Right to Work, Negotiation, Procedural right, Intellectual property","Ethics, Integrity",45,13,43489,Italiano
41,Pharmacist,Bachelor D.,False,False,Italiano,Recetto,"Information on drugs, Dispensing of drugs, Preparation of drugs, Control of prescriptions, Pharmacology","Attention to the customer, Precision, Empathy",49,15,30000,Italiano
42,Nurse,Degree,False,True,Tedesco,Grezzago,"Pharmacology, Patient Management, Anatomy, Administration of drugs, Health care","Communication, Empathy, Management of stress, Flexibility, Professional ethics",40,6,36124,"Tedesco, Francese, Italiano"
43,HR Consultant,Degree,False,False,Italiano,San Clemente,"Analysis of data, Organisational development","Coaching, Ability to listen, Negotiation, Management of stress",30,3,30788,Italiano
44,Lawyer,Bachelor D.,False,False,Italiano,Mordano,"Criminal Law, Negotiation","Persuasive communication, Critical thinking, Communication skills",29,0,20610,"Italiano, Francese, Inglese"
45,Web Developer,Degree,True,False,Italiano,Bisceglie,"Python, XAMPP","Flexibility, Innovation",44,19,58680,Italiano
46,Nurse,Bachelor D.,False,False,Tedesco,Senerchia,"Pharmacology, Health care, Medical emergencies","Communication, Flexibility, Management of stress",29,4,36477,"Tedesco, Italiano, Inglese"
47,Pharmacist,Bachelor D.,False,False,Italiano,Fiave',"Control of prescriptions, Management of the cash","Organizational skills, Knowledge of regulations, Empathy, Precision",51,20,30000,"Italiano, Inglese, Cinese"
48,Computer security analyst,Bachelor D.,True,False,Danese,Gerenzano,"Keepass, Security of the networks","Collaboration, Troubleshooting, Innovation, Critical thinking",41,7,71538,"Danese, Italiano, Portoghese"
49,Pharmacist,Bachelor D.,False,False,Italiano,Pojana Maggiore,"Information on drugs, Management of the cash","Organizational skills, Communication, Precision",52,16,30000,"Italiano, Tedesco, Egiziano"
50,Lawyer,Degree,False,False,Turco,Gambolo',"Legal Research, Legal system, Procedural right, Civil Law, Negotiation","Argumentation, Critical thinking, Analytical skills, Persuasive communication, Communication skills",59,19,49194,"Turco, Inglese, Egiziano"
51,System administrator,Degree,False,False,Italiano,Tarzo,"SMTP, Unix","Patience, Troubleshooting, Management of emergencies",45,3,34613,"Italiano, Tedesco, Russo"
52,Computer security analyst,PhD,False,False,Norvegese,Sessame,"Cryptography, GnuPG, Analysis of vulnerabilities, Security of the networks, Keepass","Critical thinking, Troubleshooting, Adaptability, Collaboration",37,10,76199,"Norvegese, Francese"
53,Marketing manager,Degree,False,True,Italiano,Chianciano Terme,"Strategies of marketing, Market research","Adaptability, Critical thinking, Leadership, Creativity",39,9,106913,"Italiano, Cubano"
54,Nurse,Degree,False,True,Italiano,Monte San Giacomo,"Patient Management, Pharmacology, Administration of drugs","Communication, Empathy, Management of stress",43,12,37132,"Italiano, Finlandese"
55,Pharmacist,Degree,False,False,Inglese,Cordignano,"Control of prescriptions, Dispensing of drugs, Pharmacology, Information on drugs, Management of the cash","Empathy, Knowledge of regulations, Communication, Attention to the customer",30,5,23072,"Inglese, Italiano"
56,Financial analyst,PhD,True,False,Argentino,San Marzano Oliveto,"Financial markets, Investment","Problem solving, Effective communication",29,1,27444,Argentino
57,Surgeon,Degree,False,False,Inglese,Vaglio Basilicata,"Surgical Anatomy, Specialized surgical procedures, Operating block management, General Surgery, Surgical physiology","Precision, Ethics, Patience, Decision making, Teamwork",49,15,116486,"Inglese, Italiano, Cubano"
58,X-ray technician,Degree,False,False,Irlandese,Celle Ligure,"Preparation of patients, X-ray and scan reading, Radiological safety, Use of imaging equipment","Organizational skills, Attention to detail, Confidentiality",47,11,30000,Irlandese
59,Data Scientist,Bachelor D.,True,False,Inglese,Rivalba,"SQL, Machine Learning, Statistical, TensorFlow, Python","effective communication, Innovation, Analytical thinking, Teamwork, Solving the problems",34,8,43405,Inglese
60,Financial analyst,Degree,False,True,Messicano,Paisco Loveno,"Investment, Economics, Risk Management, Assessment of investments","Management of stress, Problem solving, Attention to detail, Critical analysis",37,0,28415,Messicano
61,Asset manager,Bachelor D.,False,False,Inglese,Montefusco,"Financial analysis, Financial planning, Economics, Management of the portfolio, Investments","Customer orientation, Strategic Thinking, Attention to detail",38,4,59743,Inglese
62,Financial consultant,Degree,False,False,Pakistano,Senerchia,"Insurance, Investments, Commercial Law","Customer orientation, Empathy, Attention to detail",38,1,54893,"Pakistano, Messicano"
63,Architect,Bachelor D.,False,False,Brasiliano,Ripa Teatina,"Revit, AutoCAD, Architectural design","Spatial thought, Creativity",38,2,57880,Brasiliano
64,Marketing manager,Researcher,False,False,Colombiano,Dolegna del Collio,"Market research, Planning of campaigns, Management of the brand, Hootsuite","Management of the team, Critical thinking, Ability to adapt to new technologies, Adaptability, Leadership",37,1,114139,"Colombiano, Argentino, Italiano"
65,Doctor,Master D.,False,False,Brasiliano,Moggio,"Therapy, Pathology","Ethics, Teamwork, Empathic communication, Patience, Attention to the patient",40,7,79881,"Brasiliano, Turco, Colombiano"
66,Legal consultant,Master D.,False,False,Norvegese,Cornegliano Laudense,"Right to Work, Civil Law","Capacity for research, Ethics",39,7,38611,"Norvegese, Inglese"
67,Legal consultant,Master D.,False,True,Italiano,Voltido,"Contracts, Intellectual property","Management of stress, Ethics, Customer orientation, Integrity, Negotiation",50,12,40719,"Italiano, Canadese, Inglese"
68,Lawyer,Bachelor D.,False,False,Cinese,Rocca Grimalda,"Legal system, Negotiation, Legal Research","Critical thinking, Communication skills, Persuasive communication, Analytical skills",43,2,42150,"Cinese, Italiano, Italiano"
69,Operation manager,Bachelor D.,False,False,Messicano,Sant'Eufemia d'Aspromonte,"ERP, Optimization of processes","Strategic planning, Troubleshooting, Management of time, Management of stress",56,16,148816,"Messicano, Italiano"
70,Pharmacist,Bachelor D.,False,False,Messicano,Zignago,"Dispensing of drugs, Control of prescriptions, Management of the cash, Information on drugs","Organizational skills, Attention to the customer, Empathy",54,1,21954,"Messicano, Statunitense"
71,Lawyer,Degree,False,False,Italiano,Rivalba,"Negotiation, Civil Law, Procedural right","Persuasive communication, Communication skills, Analytical skills, Argumentation",44,3,31010,"Italiano, Tedesco"
72,Legal consultant,Degree,False,False,Italiano,Valfenera,"Right to Work, Civil Law, Criminal Law","Customer orientation, Integrity",29,1,29676,"Italiano, Inglese, Canadese"
73,Teacher,Master D.,False,True,Statunitense,Roure,"Office suite, Italian, Physical education, Music, Art","Empathy, Patience, Communication",45,5,22839,"Statunitense, Italiano"
