Id,Job,Education,Age,Experience,Skills,Softkills,Ideal_Salary,City,Nationality,SmartWork,Experience_abroad,Language
0,HR Consultant,Master D.,30,4,"HR Management, Selection and evaluation techniques, Analysis of data, Training and development, Industrial relations","Management of stress, Negotiation, Management of the conflict, Empathy, Coaching",35009,Teora,Italiano,True,False,"Italiano, Danese"
1,Surgeon,Bachelor D.,29,17,"General Surgery, Specialized surgical procedures, Surgical Anatomy","Management of stress, Patience, Precision, Decision making",80024,Mercato Saraceno,Inglese,False,True,"Inglese, Italiano"
2,Marketing manager,Researcher,35,5,"Planning of campaigns, Management of the brand","Critical thinking, Ability to adapt to new technologies, Management of the team, Leadership, Creativity",72496,Marano sul Panaro,Portoghese,True,True,"Portoghese, Tedesco, Cinese"
3,System administrator,Bachelor D.,49,11,"Linux, Cloud management","Patience, Management of emergencies, Troubleshooting",37509,Casale Monferrato,Israeliano,False,False,Israeliano
4,Computer security analyst,Degree,42,4,"Incident Management, Cyber Security","Collaboration, Adaptability, Innovation",80003,Novedrate,Italiano,True,False,"Italiano, Cinese"
5,Lawyer,PhD,50,9,"Legal Research, Negotiation, Civil Law, Legal system, Procedural right","Communication skills, Critical thinking",34982,Origgio,Egiziano,False,False,"Egiziano, Danese"
6,Web Developer,PhD,66,1,"Internet protocols, SQL","Ability to manage stress, Problem solving, Effective communication, Teamwork, Innovation",44986,Bajardo,Italiano,True,True,"Italiano, Tedesco"
7,Web Developer,Master D.,35,1,"Angular, XAMPP, MySQL","Teamwork, Flexibility, Problem solving, Effective communication, Ability to manage stress",44991,Atessa,Inglese,True,True,"Inglese, Italiano"
8,Financial analyst,Degree,59,9,"Economics, Financial markets","Effective communication, Critical analysis, Problem solving, Management of stress",33497,Molteno,Turco,True,True,Turco
9,Nurse,Researcher,37,6,"Patient Management, Pharmacology, Administration of drugs","Flexibility, Management of stress, Professional ethics",29995,Schio,Cinese,False,False,"Cinese, Italiano"
10,Financial analyst,Master D.,48,8,"Risk Management, Investment, Economic Law","Management of stress, Attention to detail",33485,Desenzano del Garda,Inglese,True,False,"Inglese, Portoghese, Italiano"
11,Data analyst,Degree,47,10,"Tableau, SQL, Statistics","Proactivity, Critical analysis, Clear communication, Creativity",34990,Castelfranco Emilia,Italiano,True,True,Italiano
12,Marketing manager,Bachelor D.,49,16,"Planning of campaigns, Hootsuite","Critical thinking, Ability to adapt to new technologies, Management of the team",72491,Malles Venosta,Finlandese,True,True,"Finlandese, Italiano, Francese"
13,Financial consultant,Master D.,55,1,"Actions, Financial markets, Insurance, Investments","Attention to detail, Precision, Persuasive communication, Customer orientation, Empathy",39993,Massa Fermana,Italiano,False,True,"Italiano, Francese"
14,Computer security analyst,Bachelor D.,58,3,"Cyber Security, Cryptography, Security of the networks, GnuPG, Keepass","Critical thinking, Adaptability",80002,Viterbo,Canadese,True,True,"Canadese, Russo"
15,Surgeon,Master D.,30,6,"Specialized surgical procedures, Operating block management, Medical imaging, Surgical Anatomy, Surgical physiology","Patience, Teamwork",79998,Monteflavio,Italiano,False,True,"Italiano, Argentino, Tunisino"
16,Pharmacist,Bachelor D.,33,7,"Pharmacology, Management of the cash, Information on drugs","Communication, Precision, Organizational skills, Knowledge of regulations",23486,Priola,Italiano,False,False,"Italiano, Portoghese, Turco"
17,Developer,Master D.,45,4,"Git, Algorithm, C++","Problem solving, Creativity, Innovation, Professional Ethic, Collaboration",43009,Trescore Balneario,Colombiano,True,True,Colombiano
18,Risk expert,Researcher,69,19,"Management of losses, Environmental risk, Assessment of risk, Management of the crisis, Financial risk","Management of stress, Decision making, Analytical thinking",35494,Bosnasco,Canadese,False,False,Canadese
19,Architect,PhD,42,28,"BIM, Rhinoceros 3D, Revit","Collaboration, Spatial thought, Creativity, Attention to detail, Effective communication",42499,Lusciano,Italiano,True,True,"Italiano, Russo, Messicano"
20,Marketing manager,Master D.,57,15,"Google Analytics, Planning of campaigns, Market research, Management of the brand","Critical thinking, Creativity",72502,Spinete,Italiano,True,True,Italiano
21,X-ray technician,Researcher,25,6,"Use of imaging equipment, Preparation of patients, Radiological safety, X-ray and scan reading","Empathy, Confidentiality, Organizational skills, Communication",23492,Pachino,Francese,False,True,"Francese, Norvegese"
22,Developer,Degree,34,2,"Git, Database","Professional Ethic, Creativity, Collaboration",42999,Graglia,Italiano,True,False,"Italiano, Tedesco, Tedesco"
23,Nurse,Master D.,28,5,"Medical emergencies, Anatomy, Health care, Pharmacology, Patient Management","Organisation, Flexibility, Professional ethics",29997,San Pietro Clarenza,Canadese,False,True,"Canadese, Italiano"
24,System administrator,Bachelor D.,21,7,"Unix, Cloud management, Linux","Patience, Management of emergencies, Troubleshooting",37504,Santa Lucia di Serino,Italiano,False,False,"Italiano, Inglese"
25,Therapist,Bachelor D.,66,27,"Cognitive behavioral therapy, Counseling","Problem solving, Empathy, Relational Skills, Confidentiality, Active listening",23496,Vialfre',Italiano,False,True,"Italiano, Tedesco, Finlandese"
26,Developer,Bachelor D.,68,9,"SQL, PHP","Flexibility, Collaboration",43012,Mosso,Inglese,True,False,Inglese
27,Risk expert,Researcher,59,20,"Data analysis, Financial risk, Management of the crisis, Environmental risk, Analysis of financial security policies","Management of stress, Analytical thinking, Decision making",35492,Malo,Egiziano,False,True,"Egiziano, Argentino"
28,Data Scientist,Degree,31,11,"R, TensorFlow, Machine Learning, Python","effective communication, Teamwork",33007,Curno,Russo,True,True,"Russo, Italiano, Inglese"
29,Data analyst,Degree,54,19,"Microsoft Excel, SAS, Database","Clear communication, Creativity",34992,Azzano San Paolo,Italiano,True,True,Italiano
