Id,Job,Education,Age,Experience,Skills,Softkills,Ideal_Salary,City,Nationality,SmartWork,Experience_abroad,Language
0,Pharmacist,Degree,60,2,"Control of prescriptions, Preparation of drugs, Dispensing of drugs","Empathy, Precision, Knowledge of regulations, Attention to the customer",23518,Poggio Picenze,Francese,False,False,"Francese, Inglese"
1,Web Developer,Bachelor D.,50,10,"Angular, SQL, CSS","Flexibility, Teamwork, Problem solving, Effective communication",45010,Caldes,Danese,True,True,Danese
2,Legal consultant,Master D.,65,6,"Civil Law, Criminal Law, Procedural right, Intellectual property","Customer orientation, Ethics, Integrity, Management of stress, Negotiation",32506,Predosa,Inglese,False,False,Inglese
3,Data Scientist,Researcher,54,4,"Statistical, Keras, TensorFlow, Machine Learning, PyTorch","Teamwork, Innovation, Analytical thinking, Attention to detail",32988,Mafalda,Danese,True,False,Danese
4,Data analyst,Bachelor D.,64,13,"R, Python, MATLAB","Critical analysis, Creativity, Clear communication, Problem solving, Proactivity",35012,Roddino,Norvegese,True,True,"Norvegese, Italiano"
5,Web Developer,Master D.,35,1,"Design patterns, CSS, MySQL, XAMPP, Ruby","Flexibility, Innovation, Problem solving, Teamwork",44990,Santa Lucia di Serino,Italiano,True,True,Italiano
6,Lawyer,Degree,50,15,"Criminal Law, Procedural right, Legal Research, Negotiation, Civil Law","Critical thinking, Argumentation, Persuasive communication, Communication skills",34998,Bianze',Statunitense,False,False,"Statunitense, Italiano, Messicano"
7,Financial consultant,Bachelor D.,38,9,"Financial markets, Economics, Personal financial planning","Persuasive communication, Precision, Attention to detail",40023,Tribano,Portoghese,False,False,"Portoghese, Italiano, Inglese"
8,Nurse,Degree,67,15,"Health care, Administration of drugs, Anatomy, Pharmacology","Empathy, Professional ethics",30004,Ittiri,Italiano,False,False,"Italiano, Israeliano"
9,Operation manager,Degree,33,12,"Optimization of processes, Logistics, Microsoft Excel","Strategic planning, Management of time",109991,Sovere,Italiano,True,False,"Italiano, Tedesco"
10,Doctor,Master D.,28,28,"Anatomy, Pharmacology, Prevention, Therapy","Empathic communication, Ethics, Patience",52496,Allerona,Italiano,False,False,"Italiano, Canadese"
11,Surgeon,Bachelor D.,40,24,"Surgical Anatomy, General Surgery, Operating block management, Medical imaging, Specialized surgical procedures","Teamwork, Patience, Management of stress",80006,Casale Monferrato,Tunisino,False,False,"Tunisino, Venezuelano"
12,Data analyst,Degree,53,0,"Root, SAS, R, Statistics","Problem solving, Critical analysis",35009,Simbario,Italiano,True,True,"Italiano, Tedesco, Inglese"
13,Risk expert,Bachelor D.,42,9,"Assessment of risk, Analysis of financial security policies, Financial risk, Environmental risk, Management of the crisis","Analytical thinking, Management of stress",35500,Robilante,Inglese,False,True,"Inglese, Messicano"
14,Legal consultant,Degree,31,10,"Criminal Law, Tax legislation","Customer orientation, Ethics, Capacity for research",32500,Gandino,Italiano,False,True,"Italiano, Norvegese"
15,Financial consultant,Bachelor D.,34,2,"Economics, Insurance, Actions, Personal financial planning, Investments","Persuasive communication, Attention to detail, Customer orientation, Empathy, Precision",40013,Chianciano Terme,Portoghese,False,False,Portoghese
16,Pharmacist,Bachelor D.,48,11,"Dispensing of drugs, Management of the cash, Preparation of drugs, Control of prescriptions","Organizational skills, Empathy",23500,Pojana Maggiore,Italiano,False,True,Italiano
17,Web Developer,Master D.,20,7,"PHP, Design patterns, Ruby","Effective communication, Problem solving, Flexibility, Teamwork, Ability to manage stress",44988,Montesano Salentino,Italiano,True,False,"Italiano, Brasiliano"
18,Data analyst,Degree,38,5,"Microsoft Excel, Database","Problem solving, Creativity, Proactivity, Clear communication",34996,Garlate,Messicano,True,False,"Messicano, Statunitense"
19,Operation manager,Master D.,32,9,"Six Sigma, Management of operations, ERP, Logistics","Strategic planning, Management of time, Troubleshooting, Management of stress",110015,Fanano,Portoghese,True,False,Portoghese
